category_id,category_name,archetype,primary_delivery_form,cra_exposure_level,statutory_assessment_module,typical_annual_eu_revenue_usd,audit_or_delisting_probability_pct,delisting_risk_severity,customs_seizure_risk,estimated_inaction_cost_usd,sweat_equity_hours,sweat_equity_cost_usd,tooling_attestation_cost_usd,annual_maintenance_reserve_usd,total_cost_to_act_usd,breakeven_eu_arr_usd,capital_preservation_roi_pct,strategic_action_verdict,key_statutory_articles,last_updated
CMS-03,Shopify Public Marketplace Apps & Frontends,"CMS Plugin, Theme & Extension Builders",Shopify App Store Hosted Extension,HIGH,Annex II Module A (Internal Control),94000,38.0,Critical (Shopify Partner Terms Mandatory CE Attestation),None (Digital Distribution),115000,18,1350,150,450,1950,3900,5797.4,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(5), Art. 14, Art. 53",2026-09-25
CMS-04,PrestaShop & Magento Commercial E-Com Modules,"CMS Plugin, Theme & Extension Builders",Self-Hosted Enterprise Module Archive,HIGH,Annex II Module A (Internal Control),58000,30.0,High (Enterprise Buyer Procurement Security Gate),None (Digital Distribution),70000,16,1200,150,350,1700,3400,4017.6,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(5), Art. 14, Art. 53",2026-09-25
CMS-05,Browser Extensions (Chrome Web Store / Firefox Add-ons),"CMS Plugin, Theme & Extension Builders",WebExtensions Archive (.crx / .xpi),HIGH,Annex II Module A (Internal Control),46000,35.0,Critical (Chrome Web Store Developer Policy CE Gate),None (Digital Distribution),58000,14,1050,120,300,1470,2940,3845.6,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
CMS-06,IDE & Developer Tool Extensions (VS Code / JetBrains),"CMS Plugin, Theme & Extension Builders",IDE Marketplace Plugin Bundle (.vsix / .jar),HIGH,Annex II Module A (Internal Control),52000,26.0,High (Developer Security Audits & Marketplace Delisting),None (Digital Distribution),62000,16,1200,150,350,1700,3400,3547.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
CMS-07,Headless CMS Commercial Extensions (Strapi / Contentful),"CMS Plugin, Theme & Extension Builders",Node.js NPM Package Integration,HIGH,Annex II Module A (Internal Control),64000,28.0,High (NPM Supply Chain & Ecosystem Registry Flags),None (Digital Distribution),76000,18,1350,150,400,1900,3800,3900.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
CMS-08,"Slack, Discord & Microsoft Teams Bot Integrations","CMS Plugin, Theme & Extension Builders",Marketplace Bot App + Webhook Backend,HIGH,Annex II Module A (Internal Control),75000,31.0,Critical (Workplace App Directory Compliance Revocation),None (Digital Distribution),92000,20,1500,180,400,2080,4160,4323.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
IOT-01,Retro Gaming Handhelds & Flash Carts,"Boutique Hardware, Retro-Modding & IoT Makers",Physical PCB + Embedded Microcontroller Firmware,CRITICAL,Annex II Module A / Technical Construction File,48000,45.0,Critical (Customs Border Confiscation & Platform Ban),Critical (Direct EU Border Impoundment),86000,32,2400,250,700,3350,6700,2467.2,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
IOT-02,Custom Mechanical Keyboards & Macropads (QMK/ZMK),"Boutique Hardware, Retro-Modding & IoT Makers",Enclosed USB/BLE Peripheral + Open/Custom Firmware,CRITICAL,Annex II Module A / CE Declaration,62000,40.0,Critical (EU Customs Stop + Reseller Group-Buy Ban),Critical (Stock Confiscation at Border),112000,28,2100,220,600,2920,5840,3735.6,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
IOT-03,Smart Home Environmental Sensors (Matter / Zigbee / ESP32),"Boutique Hardware, Retro-Modding & IoT Makers",Enclosed Sensor Hardware + Radio Firmware,CRITICAL,Annex II Module A / CE Declaration,72000,48.0,Critical (Smart Home Ecosystem Ban + EU Border Seizure),Critical (Direct EU Border Impoundment),135000,34,2550,250,750,3550,7100,3702.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
IOT-04,"Ham Radio, SDR Transceivers & RF Testing Boards","Boutique Hardware, Retro-Modding & IoT Makers",Assembled RF Board + FPGA/Microcontroller Image,CRITICAL,Annex II Module A / Technical Construction File,55000,42.0,Critical (Telecom Authority Audit & Border Seizure),Critical (Customs RED & CRA Hold),98000,30,2250,250,650,3150,6300,3011.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
IOT-05,"3D Printer Mainboards, Toolheads & Klipper Accelerators","Boutique Hardware, Retro-Modding & IoT Makers",Replacement Mainboard + MCU Firmware,CRITICAL,Annex II Module A / CE Declaration,86000,44.0,Critical (Marketplace Delisting on Amazon/AliExpress/EU Stores),Critical (Direct EU Border Impoundment),142000,32,2400,250,700,3350,6700,4138.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
IOT-06,Eurorack DSP Synth Modules & MIDI Controllers,"Boutique Hardware, Retro-Modding & IoT Makers",Eurorack Module PCB + ARM Firmware,CRITICAL,Annex II Module A / CE Declaration,44000,36.0,High (European Music Retailer Import Rejection),Critical (Customs Consignment Return),76000,26,1950,200,550,2700,5400,2714.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
IOT-07,Automotive Diagnostic OBD-II / CAN Dongles & Loggers,"Boutique Hardware, Retro-Modding & IoT Makers",OBD-II Dongle + Bluetooth/Wi-Fi Firmware,CRITICAL,Annex II Module A / Technical Construction File,92000,46.0,Critical (Vehicular Safety & Cybersecurity Border Confiscation),Critical (Immediate EU Customs Destruction),160000,36,2700,280,800,3780,7560,4132.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53, PLD Dir 2024/2853",2026-09-25
IOT-08,Agricultural & Environmental Remote IoT Nodes,"Boutique Hardware, Retro-Modding & IoT Makers",Ruggedized LoRaWAN/Cellular Telemetry Node,CRITICAL,Annex II Module A / CE Declaration,68000,42.0,Critical (EU Commercial Distributor Contract Termination),Critical (Commercial Freight Customs Block),120000,30,2250,250,650,3150,6300,3709.5,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
AGY-01,"Commercial SaaS Boilerplates, Starters & Code Kits",Digital Agencies & Bespoke Dev Shops,Source Code Git Repository Access,CONDITIONAL,Contractual Annex II Module A Handover,95000,24.0,High (Customer Downstream Product Liability Claims),None (Digital Distribution),115000,18,1350,180,450,1980,3960,5708.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53, PLD Dir 2024/2853",2026-09-25
AGY-02,Bespoke Mobile Apps Delivered Under Client Brand,Digital Agencies & Bespoke Dev Shops,Turnkey Client Codebase + App Store Release,CONDITIONAL,Annex II Module A Technical File Delivery,160000,28.0,Critical (Client Withholding Final Payment & Legal Indemnity),None (Digital Distribution),190000,24,1800,250,600,2650,5300,7069.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53, PLD Dir 2024/2853",2026-09-25
AGY-03,Headless E-Commerce Frontends (Next.js / Shopify Hydrogen),Digital Agencies & Bespoke Dev Shops,Deployed Storefront Codebase + Infrastructure,CONDITIONAL,Contractual Annex II Module A Handover,130000,22.0,Moderate-High (Merchant Audit Dispute & Warranty Breach),None (Digital Distribution),150000,20,1500,200,500,2200,4400,6718.2,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
AGY-04,Custom Agency WordPress Themes & Tailored Stacks,Digital Agencies & Bespoke Dev Shops,Custom Theme & Child Theme Deployment,CONDITIONAL,Contractual Annex II Module A Handover,75000,18.0,Moderate (Client Retainer Loss Upon Security Finding),None (Digital Distribution),85000,16,1200,150,350,1700,3400,4900.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
AGY-05,Embedded Firmware & IoT Prototypes Built for Clients,Digital Agencies & Bespoke Dev Shops,Firmware Source + Hardware Engineering Handoff,CRITICAL,Mandatory Technical Construction File Handover,140000,35.0,Critical (Client Product Launch Cancellation & Breach of Contract),Critical (Client Prototype Import Stops),185000,30,2250,250,700,3200,6400,5681.3,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34, Art. 53",2026-09-25
AGY-06,Internal Corporate Portals & B2B Admin Dashboards,Digital Agencies & Bespoke Dev Shops,Private Deployed Web Application,CONDITIONAL,Contractual Annex II Module A Handover,110000,16.0,Moderate (Enterprise InfoSec Audit Failure),None (Digital Distribution),125000,18,1350,180,450,1980,3960,6213.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
AGY-07,Custom ETL Data Pipelines & API Middleware,Digital Agencies & Bespoke Dev Shops,Containerized Service / Serverless Integration,CONDITIONAL,Contractual Annex II Module A Handover,90000,19.0,Moderate (Client Compliance Officer Gate),None (Digital Distribution),105000,16,1200,150,400,1750,3500,5900.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
AGY-08,White-Label FinTech & Checkout Flow Integrations,Digital Agencies & Bespoke Dev Shops,High-Security Embeddable Payment Flow,CRITICAL,Annex II Module A Technical File Delivery,175000,32.0,Critical (Banking Partner Regulatory Breach & Client Lawsuit),None (Digital Distribution),220000,26,1950,250,650,2850,5700,7619.3,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53, PLD Dir 2024/2853",2026-09-25
SAAS-01,Cloud B2B SaaS with CLI Management Companion,Hybrid Cloud B2B SaaS,SaaS Platform + Downloadable Native CLI,BORDERLINE / LOW,Annex II Module A (CLI Component Only),180000,18.0,Moderate (Enterprise Procurement Security Gate),None (Digital Distribution),145000,15,1125,150,375,1650,3300,8687.9,Retain Market & Comply (High ROI),"Art. 3(1), Art. 10, Art. 13(18), Art. 14, Recital 12",2026-09-25
SAAS-02,SaaS Platform with Desktop File Sync Client,Hybrid Cloud B2B SaaS,SaaS Web + Native Sync Daemon (.dmg / .exe),HIGH,Annex II Module A (Sync Client Component),195000,24.0,High (Endpoint Privilege Escalation Flag in Enterprise),None (Digital Distribution),170000,20,1500,200,500,2200,4400,7627.3,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",2026-09-25
SAAS-03,Web Collaboration SaaS with Mobile Push Companion,Hybrid Cloud B2B SaaS,SaaS App + iOS/Android Mobile Push Clients,HIGH,Annex II Module A (Mobile App Only),160000,26.0,Critical (Automated Mobile App Store Rejection),None (Digital Distribution),150000,18,1350,180,450,1980,3960,7475.8,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
SAAS-04,Self-Hosted Docker Compose / Helm Distributions,Hybrid Cloud B2B SaaS,Docker Image Registry & Helm Charts,CRITICAL,Annex II Module A (Self-Hosted PDE),220000,32.0,Critical (Enterprise Air-Gapped Customer Procurement Block),None (Digital Distribution),210000,24,1800,250,600,2650,5300,7824.5,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
SAAS-05,On-Premises Kubernetes DaemonSets & Observability Exporters,Hybrid Cloud B2B SaaS,K8s DaemonSet Container + eBPF Probe,CRITICAL,Annex II Module A (DaemonSet Component),240000,35.0,Critical (Root Access Probe Security Clearance Rejection),None (Digital Distribution),235000,26,1950,250,650,2850,5700,8145.6,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
SAAS-06,Cloud Backup Local Agent & Volume Snapshot Daemons,Hybrid Cloud B2B SaaS,System Service (.service / Windows Service),CRITICAL,Annex II Module A (Agent Component),175000,30.0,High (Data Protection Officer & Cybersecurity Veto),None (Digital Distribution),165000,22,1650,200,550,2400,4800,6775.0,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53, PLD Dir 2024/2853",2026-09-25
SAAS-07,"Remote Support, Screen-Share & MDM Control Clients",Hybrid Cloud B2B SaaS,Remote Control Host Executable,CRITICAL,Annex II Module A (Remote Client),210000,38.0,Critical (Mandatory Security Vendor Questionnaire Failure),None (Digital Distribution),225000,25,1875,250,650,2775,5550,8008.1,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53, PLD Dir 2024/2853",2026-09-25
SAAS-08,Self-Hosted CI/CD Runner Daemons & Build Agents,Hybrid Cloud B2B SaaS,Runner Binary + Docker Sandbox Orchestrator,HIGH,Annex II Module A (Runner Component),165000,25.0,Moderate-High (DevSecOps Pipeline Compliance Block),None (Digital Distribution),155000,18,1350,180,450,1980,3960,7728.3,Retain Market & Comply (High ROI),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",2026-09-25
