category_id,category_name,archetype,primary_delivery_form,nace_rev21_code,nace_rev21_title,isic_rev4_code,isic_rev4_title,naics_2022_code,naics_2022_title,cra_statutory_tier,cra_statutory_module,cra_primary_articles,public_data_source_title,public_data_source_url,classification_provenance_notes
CMS-05,Browser Extensions (Chrome Web Store / Firefox Add-ons),"CMS Plugin, Theme & Extension Builders",WebExtensions Archive (.crx / .xpi),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Annex III Class I Item 5 (Web Browsers & Extensions)",Regulation (EU) 2024/2847 Annex III Item 5,https://eur-lex.europa.eu/eli/reg/2024/2847/oj,"Browser extensions execute directly within the web browser DOM with elevated privileges. Under CRA Annex III Item 5, web browsers and associated security-relevant browser components fall into Important Class I."
CMS-06,IDE & Developer Tool Extensions (VS Code / JetBrains),"CMS Plugin, Theme & Extension Builders",IDE Marketplace Plugin Bundle (.vsix / .jar),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 32-34",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Packaged development plugins executing in local IDE process spaces. Regulated as Default PDE under Article 18(1).
CMS-07,Headless CMS Commercial Extensions (Strapi / Contentful),"CMS Plugin, Theme & Extension Builders",Node.js NPM Package Integration,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Commercial NPM middleware distributed for headless CMS platforms. Mapped to computer programming activities under NACE J62.01.
CMS-08,"Slack, Discord & Microsoft Teams Bot Integrations","CMS Plugin, Theme & Extension Builders",Marketplace Bot App + Webhook Backend,J63.11,"Data processing, hosting and related activities",6311,"Data processing, hosting and related activities",518210,"Computing Infrastructure Providers, Data Processing, Web Hosting",Borderline / Low Exposure (SaaS Exclusion Recital 13),Exempt unless distributing executable local connector,"Art. 2, Recital 13 (Cloud Services)",Regulation (EU) 2024/2847 Recital 13,https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Cloud-hosted bot integrations communicating over OAuth/webhooks are generally exempt from CRA manufacturer duties unless shipping on-premises daemon components.
IOT-01,Retro Gaming Handhelds & Flash Carts,"Boutique Hardware, Retro-Modding & IoT Makers",Physical PCB + Embedded Microcontroller Firmware,C26.40,Manufacture of consumer electronics,2640,Manufacture of consumer electronics,334310,Audio and Video Equipment Manufacturing,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 32-34 (CE Marking), Art. 48 (Customs)",Eurostat NACE Rev. 2.1 - Class 26.40 Manufacture of consumer electronics,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20611840,Physical consumer hardware with bootable firmware. Triggers mandatory CE marking and Article 48 customs controls at EU external borders.
IOT-02,Custom Mechanical Keyboards & Macropads (QMK/ZMK),"Boutique Hardware, Retro-Modding & IoT Makers",Enclosed USB/BLE Peripheral + Open/Custom Firmware,C26.20,Manufacture of computers and peripheral equipment,2620,Manufacture of computers and peripheral equipment,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 32-34, Art. 48",Eurostat NACE Rev. 2.1 - Class 26.20 Manufacture of computers and peripheral equipment,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20611838,Computer input peripherals with embedded programmable microcontrollers. Covered under NACE C26.20 and subject to CRA Article 10 security-by-design standards.
IOT-03,Smart Home Environmental Sensors (Matter / Zigbee / ESP32),"Boutique Hardware, Retro-Modding & IoT Makers",Enclosed Sensor Hardware + Radio Firmware,C26.30,Manufacture of communication equipment,2630,Manufacture of communication equipment,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Annex III Class I Item 14 (Smart Home Devices), Art. 48",Regulation (EU) 2024/2847 Annex III Item 14 (Smart Home Devices),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,"Connected home environmental monitoring hardware. Explicitly classified as Important Class I under Annex III Item 14, requiring conformity against harmonised radio/cybersecurity standards."
IOT-04,"Ham Radio, SDR Transceivers & RF Testing Boards","Boutique Hardware, Retro-Modding & IoT Makers",Assembled RF Board + FPGA/Microcontroller Image,C26.30,Manufacture of communication equipment,2630,Manufacture of communication equipment,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 32-34, Radio Equipment Directive 2014/53/EU",Eurostat NACE Rev. 2.1 - Class 26.30 Manufacture of communication equipment,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20611839,Software-defined radio instruments and transceivers. Must satisfy both CRA Article 10 and RED Article 3.3 cybersecurity requirements.
IOT-05,"3D Printer Mainboards, Toolheads & Klipper Accelerators","Boutique Hardware, Retro-Modding & IoT Makers",Replacement Mainboard + MCU Firmware,C26.11,Manufacture of electronic components,2610,Manufacture of electronic components and boards,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 32-34, Art. 48",Eurostat NACE Rev. 2.1 - Class 26.11 Manufacture of electronic components,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20611836,Microcontroller mainboards intended for integration into 3D printing equipment. Commercialized as components or standalone upgrades under Article 3(1).
IOT-06,Eurorack DSP Synth Modules & MIDI Controllers,"Boutique Hardware, Retro-Modding & IoT Makers",Eurorack Module PCB + ARM Firmware,C26.40,Manufacture of consumer electronics,2640,Manufacture of consumer electronics,334310,Audio and Video Equipment Manufacturing,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 32-34, Art. 48",Eurostat NACE Rev. 2.1 - Class 26.40 Manufacture of consumer electronics,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20611840,Embedded digital synthesizers and MIDI communication modules. Falls into consumer electronics manufacturing under NACE C26.40.
IOT-07,Automotive Diagnostic OBD-II / CAN Dongles & Loggers,"Boutique Hardware, Retro-Modding & IoT Makers",OBD-II Dongle + Bluetooth/Wi-Fi Firmware,C26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",2651,"Manufacture of measuring, testing, navigating and control equipment",334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Annex III Class I, UNECE WP.29 R155/R156, Art. 48",Regulation (EU) 2024/2847 Annex III & UNECE WP.29 Automotive Cybersecurity,https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Vehicle telematics diagnostic equipment interfacing with safety-critical CAN networks. Intersects with UNECE cybersecurity regulations and Annex III Class I.
IOT-08,Agricultural & Environmental Remote IoT Nodes,"Boutique Hardware, Retro-Modding & IoT Makers",Ruggedized LoRaWAN/Cellular Telemetry Node,C26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",2651,"Manufacture of measuring, testing, navigating and control equipment",334519,Other Measuring and Controlling Device Manufacturing,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 32-34, Art. 48",Eurostat NACE Rev. 2.1 - Class 26.51 Manufacture of instruments for measuring,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20611841,Field environmental monitoring and agricultural telemetry stations. Subject to CE marking and Module A self-assessment under Article 18(1).
AGY-01,"Commercial SaaS Boilerplates, Starters & Code Kits",Digital Agencies & Bespoke Dev Shops,Source Code Git Repository Access,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13(18), Art. 14, Directive 2024/2853 (PLD)",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,"Commercial starter kits and boilerplates sold to developers. When commercialized as packaged software, covered under software publishing NACE J58.29."
AGY-02,Bespoke Mobile Apps Delivered Under Client Brand,Digital Agencies & Bespoke Dev Shops,Turnkey Client Codebase + App Store Release,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Default Product with Digital Elements (Client Manufacturer),Annex II Module A (Contractual Deliverable Handoff),"Art. 3, Art. 13(1), Art. 13(20), Art. 53",Eurostat NACE Rev. 2.1 - Class 62.01 Computer programming activities,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20612143,"Custom software development for specific clients. Under CRA Article 13(20), when software is placed on the market under the client's trademark, the client is statutory manufacturer, but agencies face contractual indemnification risk."
AGY-03,Headless E-Commerce Frontends (Next.js / Shopify Hydrogen),Digital Agencies & Bespoke Dev Shops,Deployed Storefront Codebase + Infrastructure,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Borderline / Low Exposure (SaaS Exclusion Recital 13),Client Infrastructure Integration (Module A),"Art. 2, Art. 3, Recital 13, Art. 10",Regulation (EU) 2024/2847 Recital 13,https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Cloud-hosted web frontends built for enterprise merchants. Primarily subject to client MSA terms and security warranties.
AGY-04,Custom Agency WordPress Themes & Tailored Stacks,Digital Agencies & Bespoke Dev Shops,Custom Theme & Child Theme Deployment,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Bespoke CMS themes commercialized to corporate clients. Subject to CRA Article 10 security-by-design standards if distributed or reused across clients.
AGY-05,Embedded Firmware & IoT Prototypes Built for Clients,Digital Agencies & Bespoke Dev Shops,Firmware Source + Hardware Engineering Handoff,M71.12,Engineering activities and related technical consultancy,7112,Engineering activities and related technical consultancy,541330,Engineering Services,Default Product with Digital Elements (Client Placed on Market),Technical Construction File (Annex II Module A),"Art. 3, Art. 10, Art. 13(1), Art. 13(20), Art. 32-34",Eurostat NACE Rev. 2.1 - Class 71.12 Engineering activities,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=DSP_NOM_DTL_VIEW&StrNom=NACE_REV2&StrLanguageCode=EN&IntKey=20612342,Contract engineering and firmware prototyping. Classified under NACE M71.12. Agency must supply full technical file documentation to enable client CE declaration.
AGY-06,Internal Corporate Portals & B2B Admin Dashboards,Digital Agencies & Bespoke Dev Shops,Private Deployed Web Application,J62.02,Computer consultancy activities,6202,Computer consultancy and computer facilities management activities,541512,Computer Systems Design Services,Borderline / Low Exposure (Internal Tooling Recital 13),Contractual Security Specification,"Art. 2, Recital 13, Recital 20 (Custom Software)",Regulation (EU) 2024/2847 Recital 20,https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Internal enterprise administrative tools developed for single corporate use are governed primarily by client cybersecurity policies rather than public market placing rules.
AGY-07,Custom ETL Data Pipelines & API Middleware,Digital Agencies & Bespoke Dev Shops,Containerized Service / Serverless Integration,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Borderline / Low Exposure (SaaS / Private Service),Client Infrastructure Integration,"Art. 2, Recital 13, Art. 10",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Cloud-native middleware connecting enterprise data systems. Falls under programming activities (NACE J62.01).
AGY-08,White-Label FinTech & Checkout Flow Integrations,Digital Agencies & Bespoke Dev Shops,High-Security Embeddable Payment Flow,J62.01,Computer programming activities,6201,Computer programming activities,541511,Custom Computer Programming Services,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Directive 2024/2853 (PLD)",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Embeddable payment libraries and financial components. High contractual liability exposure for software defects under the revised Product Liability Directive.
SAAS-01,Cloud B2B SaaS with CLI Management Companion,Hybrid Cloud B2B SaaS,SaaS Platform + Downloadable Native CLI,J63.11,"Data processing, hosting and related activities",6311,"Data processing, hosting and related activities",518210,"Computing Infrastructure Providers, Data Processing, Web Hosting",Default Product with Digital Elements (CLI Component Only),Annex II Module A (Internal Production Control on CLI),"Art. 3, Art. 10, Art. 13(18), Recital 13",Regulation (EU) 2024/2847 Article 3 & Recital 13 Hybrid SaaS Boundary,https://eur-lex.europa.eu/eli/reg/2024/2847/oj,"While central cloud SaaS is exempt under Recital 13, any downloadable native CLI binary distributed to customer terminals constitutes a product with digital elements under Art. 3(1)."
SAAS-02,SaaS Platform with Desktop File Sync Client,Hybrid Cloud B2B SaaS,SaaS Web + Native Sync Daemon (.dmg / .exe),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements (Desktop Agent),Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34",Regulation (EU) 2024/2847 Article 3(1),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Local filesystem synchronization daemons installed on endpoint workstations fall directly under CRA manufacturer duties for security updates and SBOM generation.
SAAS-03,Web Collaboration SaaS with Mobile Push Companion,Hybrid Cloud B2B SaaS,SaaS App + iOS/Android Mobile Push Clients,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements (Mobile App Binary),Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 32-34",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Mobile companion applications published to Apple App Store or Google Play Store are evaluated as standalone software products requiring CE documentation.
SAAS-04,Self-Hosted Docker Compose / Helm Distributions,Hybrid Cloud B2B SaaS,Docker Image Registry & Helm Charts,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13(18), Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,"Container images distributed to customer infrastructure for on-premises hosting are fully within CRA PDE scope, losing SaaS cloud exemptions under Recital 13."
SAAS-05,On-Premises Kubernetes DaemonSets & Observability Exporters,Hybrid Cloud B2B SaaS,K8s DaemonSet Container + eBPF Probe,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Kernel and container instrumentation probes executing with elevated node privileges in customer clusters. Subject to strict SBOM and vulnerability reporting.
SAAS-06,Cloud Backup Local Agent & Volume Snapshot Daemons,Hybrid Cloud B2B SaaS,System Service (.service / Windows Service),J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Annex III Class I Item 6 (Backup Systems), Art. 53",Regulation (EU) 2024/2847 Annex III Item 6 (Backup & Restore Software),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,"Software systems designed for backup and data recovery are specifically enumerated in CRA Annex III Class I Item 6, requiring conformity assessment under Article 18(2)."
SAAS-07,"Remote Support, Screen-Share & MDM Control Clients",Hybrid Cloud B2B SaaS,Remote Control Host Executable,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Important Product with Digital Elements — Class I (Annex III),Harmonised Standards (Module A) / Notified Body (Module B+C),"Art. 3, Art. 10, Annex III Class I Item 4 (Remote Access / Administration), Art. 53",Regulation (EU) 2024/2847 Annex III Item 4 (Remote Access Software),https://eur-lex.europa.eu/eli/reg/2024/2847/oj,Remote administration and control client software is explicitly classified under CRA Annex III Class I Item 4 due to elevated privileged attack surface.
SAAS-08,Self-Hosted CI/CD Runner Daemons & Build Agents,Hybrid Cloud B2B SaaS,Runner Binary + Docker Sandbox Orchestrator,J58.29,Other software publishing,5820,Software publishing,513210,Software Publishers,Default Product with Digital Elements,Annex II Module A (Internal Production Control),"Art. 3, Art. 10, Art. 13, Art. 14, Art. 53",Eurostat NACE Rev. 2.1 Statistical Classification,https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=NACE_REV2,Standalone build orchestration daemons executed inside customer VPCs/networks. Commercialized as downloadable software and covered under CRA Article 3.
