carrier_name,tier_name,service_technology,service_type,monthly_price_usd,promotional_price_usd,promo_duration_months,typical_download_mbps,typical_upload_mbps,typical_latency_ms,data_included_gb,overage_fee_usd,equipment_rental_monthly_usd,early_termination_fee_usd,network_management_policy,fcc_label_id,market_scope,last_verified
Charter Spectrum,Spectrum Internet Gig,Cable (DOCSIS 3.1),Residential,125.0,70.0,24,1000.0,35.0,20.0,Unlimited,0.0,0.0,0.0,No data caps; router included with Gig tier,CHTR-GIG-1000-RES,National (Spectrum Footprint),2026-09-17
T-Mobile,5G Home Internet,Fixed Wireless (5G),Residential,60.0,40.0,0,160.0,22.0,35.0,Unlimited,0.0,0.0,0.0,Customers using >1.2TB/mo may see speeds prioritized behind other mobile traffic during congestion,TMOB-5G-HOME-RES,National (T-Mobile 5G),2026-09-17
Google Fiber,GFiber 1 Gig,Fiber (FTTH),Residential,70.0,70.0,0,1000.0,1000.0,8.0,Unlimited,0.0,0.0,0.0,Strict net neutrality; no data caps; mesh Wi-Fi 6 router included,GFBR-1000-RES,Select Major Metro Areas,2026-09-17
Google Fiber,GFiber 2 Gig,Fiber (FTTH),Residential,100.0,100.0,0,2000.0,1000.0,8.0,Unlimited,0.0,0.0,0.0,Strict net neutrality; no data caps; Wi-Fi 6 router included,GFBR-2000-RES,Select Major Metro Areas,2026-09-17
Google Fiber,GFiber 5 Gig,Fiber (FTTH / 10G-EPON),Residential,125.0,125.0,0,5000.0,5000.0,6.0,Unlimited,0.0,0.0,0.0,Strict net neutrality; no data caps; Wi-Fi 6E router included,GFBR-5000-RES,Select Major Metro Areas,2026-09-17
Google Fiber,GFiber 8 Gig,Fiber (FTTH / 25G-PON),Residential,150.0,150.0,0,8000.0,8000.0,5.0,Unlimited,0.0,0.0,0.0,Strict net neutrality; no data caps; Wi-Fi 7 multi-gig router included,GFBR-8000-RES,Select Major Metro Areas,2026-09-17
Cox,Go Fast (100 Mbps),Cable (DOCSIS 3.1),Residential,50.0,35.0,12,100.0,5.0,25.0,1250,10.0,14.0,120.0,1.25 TB monthly data cap; $10 per 50 GB block overage,COX-FST-100-RES,Southwest & Southeast Markets,2026-09-17
Cox,Go Faster (250 Mbps),Cable (DOCSIS 3.1),Residential,70.0,50.0,12,250.0,10.0,24.0,1250,10.0,14.0,120.0,1.25 TB monthly data cap; $10 per 50 GB block overage,COX-FSTR-250-RES,Southwest & Southeast Markets,2026-09-17
Cox,Go Super Fast (1 Gig),Cable (DOCSIS 3.1),Residential,110.0,70.0,24,1000.0,35.0,20.0,1250,10.0,14.0,120.0,1.25 TB monthly data cap; $10 per 50 GB block overage,COX-SUPR-1000-RES,Southwest & Southeast Markets,2026-09-17
Quantum Fiber,Quantum 500 Mbps,Fiber (FTTH),Residential,50.0,50.0,0,500.0,500.0,12.0,Unlimited,0.0,0.0,0.0,Price for Life; no contracts; Wi-Fi 360 mesh pod included,QNTM-500-RES,Western & Midwestern Urban Markets,2026-09-17
Quantum Fiber,Quantum 940 Mbps (Gig),Fiber (FTTH),Residential,75.0,75.0,0,940.0,940.0,10.0,Unlimited,0.0,0.0,0.0,Price for Life; no contracts; 4 Wi-Fi 360 mesh pods included,QNTM-940-RES,Western & Midwestern Urban Markets,2026-09-17
Quantum Fiber,Quantum 3 Gig,Fiber (FTTH / XGS-PON),Residential,100.0,100.0,0,3000.0,3000.0,8.0,Unlimited,0.0,0.0,0.0,Multi-gigabit symmetrical fiber; no caps; Wi-Fi 7 included,QNTM-3000-RES,Select Markets,2026-09-17
